"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Platform,Placement,"Conversion device","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Video ID","Image name","Video name","Website URL",call_to_action_type,headline,Description,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Result rate",Views,"Clicks (all)","CPC (all)","Purchases rate per link clicks","Landing page views rate per link clicks","Result value type","Results value","Result value type","Results ROAS","Cost per 1,000 Meta Accounts reached","Ad Delivery","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Page engagement","Facebook likes","Instagram follows","Post comments","Post engagements","Post reactions","Post saves","Post shares",ThruPlays,"Video plays","3-second video plays","Unique link clicks","Outbound clicks","Unique outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique clicks (all)","Unique CTR (all)","Instagram profile visits","Cost per outbound click","Cost per unique link click","Cost per unique outbound click","Cost per unique click (all)","Adds of payment info","Adds to cart","Cost per add to cart","Adds to cart conversion value","Checkouts initiated","Cost per checkout initiated","Checkouts initiated conversion value",Purchases,"Cost per purchase","Purchase ROAS (return on ad spend)","Purchases conversion value","Reporting starts","Reporting ends"
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,facebook,"Search results",android_smartphone,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,not_delivering,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,instagram,Feed,other,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,not_delivering,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,instagram,Feed,ipad,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,not_delivering,,,,,,,2,,,,2,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,instagram,Feed,iphone,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,30,,,,,,,,,,,,,,,not_delivering,,,,,,,41,,,,41,3,1,1,,,6,,30,30,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,audience_network,"Native, banner & interstitial",android_smartphone,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,5,,,,,,,,,,,,,,,not_delivering,,,,,,,5,,,,5,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,facebook,Feed,0,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,,,,,,,,,,,,,,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,facebook,Feed,desktop,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,15,,,,,,,,,,,,,,,not_delivering,,,,,,,16,,,,16,1,,,,,,,15,14,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,facebook,Feed,android_tablet,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,5,,,,,,,,,,,,,,,not_delivering,,,,,,,6,,,,6,1,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,facebook,Feed,ipad,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,7,,,,,,,,,,,,,,,not_delivering,,,,,,,8,,,,8,1,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,facebook,Feed,android_smartphone,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,35,,,,,,,,,,,,,,,not_delivering,,,,,,,37,,,,37,2,,,,,,,35,35,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,facebook,Feed,iphone,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,98,,,,,,,,,,,,,,,not_delivering,,,,,,,105,1,,,104,5,,1,,,,,98,84,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"2 Print + Dads Gift",120247312792540327,instagram,Feed,iphone,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,not_delivering,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"3 Image + Copy",120244627624380327,facebook,Feed,iphone,inactive,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/new-york-city?page=2,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,inactive,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,instagram,"Instagram Reels",android_smartphone,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,not_delivering,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,Broad_Pack1,120244285703070327,"1 Image Static",120244289186820327,instagram,Feed,other,inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/products/duval-street-print-cubist-key-west-florida-usa?variant=47612960669834,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,inactive,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,Broad_Pack2,120244380430020327,"1 Image",120244382305550327,facebook,"Facebook Reels",iphone,inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/products/rome-wall-art-minimalist-rome-italy?_pos=1&_psq=Rome&_ss=e&_v=1.0,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,inactive,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
