"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Placement,"Conversion device",Platform,Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Search results",0,facebook,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Search results",iphone,facebook,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,facebook,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,ipad,facebook,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",0,instagram,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,desktop,facebook,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,instagram,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,ipad,instagram,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,iphone,instagram,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"2 Print + Dads Gift",120247312792540327,Feed,0,instagram,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"2 Print + Dads Gift",120247312792540327,Feed,iphone,instagram,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,iphone,facebook,2026-06-25,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-25,2026-06-25
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,Feed,iphone,instagram,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",android_smartphone,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",iphone,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,"Instagram Stories",0,instagram,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,"Instagram Stories",iphone,instagram,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,Feed,0,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
