"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Gender,Age,Text,"Amount spent (USD)",Reach,Impressions,Starts,Ends,"Attribution setting",Frequency,"Result type",Results,"CPC (cost per link click)","CTR (all)","CPM (cost per 1,000 impressions)","Result rate",Views,"Clicks (all)","CPC (all)","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per post engagement",ThruPlays,"Video plays","3-second video plays","Unique 2-second continuous video plays","Link clicks","Cost per ThruPlay","Cost per 3-second video play","Cost per 2-second continuous video play","CTR (link click-through rate)","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Instagram profile visits","Cost per app activation","App installs","Cost per app install","App activations conversion value","App activations","Purchase ROAS (return on ad spend)","Ratings submitted","Mobile app installs","In-app sessions conversion value","In-app sessions","In-app purchases","In-app registrations completed","In-app trials started","In-app subscriptions conversion value","Purchases rate per landing page views","Purchases rate per link clicks","Landing page views rate per link clicks","Results rate per link clicks","Unique outbound clicks","Outbound clicks","Unique outbound CTR (click-through rate)","Unique clicks (all)","Cost per unique click (all)","Cost per unique outbound click","Cost per outbound click","Cost per unique link click","Reporting starts","Reporting ends"
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,55-64,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.01,1,1,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,25-34,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.02,2,2,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,25-34,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.25,6,6,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,41.66666667,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,45-54,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.35,7,7,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,50,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,18-24,"Bookster gives you the key ideas in 15 minutes — structured, retained, actually used.
Start free at app.bookster.ai",0.38,7,8,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.14285714,onb_initiate_checkout,,,0,47.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,35-44,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",2.2,25,36,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.44,onb_initiate_checkout,,1.1,8.33333333,61.11111111,,,3,0.73333333,,,,,,,1.1,,,,,2,,,,5.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,55-64,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.13,4,4,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,32.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,35-44,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.82,8,9,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.125,onb_initiate_checkout,,,0,91.11111111,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,18-24,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.05,2,3,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.5,onb_initiate_checkout,,,0,16.66666667,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,45-54,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.02,1,1,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,20,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
