"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Gender,Age,Text,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,45-54,"We refuse to sell cheap art.
Every print is made to order. Real matte paper. Real frames. The kind of quality you'd find in a gallery — not a gift shop.
Because the street your mom grew up on deserves better than a poster.
That's the standard we hold ourselves to.

— Joseph, Founder",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.03,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,2026-06-26,male,65+,"Free shipping — and it won't last all season.

The street you know. The place that means something. Now on your wall, shipped free, arrives in 4–7 days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.02,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 5 - Parents Gift",120247312792470327,"1 Print Static + Grandma",120247312792640327,2026-06-26,male,55-64,"She cried when she opened it... A museum-quality print of her hometown on her exact street brought back cherished moments.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.02,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,2026-06-26,female,55-64,"No gamble here! 🎨 Every print is shipped on high-quality, heavyweight fine art paper with archival inks, framed in real wood. Free shipping, guaranteed.",not_delivering,ad,3,3,1,Incremental,"Website purchases",,0.28,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,2026-06-26,female,65+,"No gamble here! 🎨 Every print is shipped on high-quality, heavyweight fine art paper with archival inks, framed in real wood. Free shipping, guaranteed.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,male,35-44,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.04,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,female,25-34,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,2026-06-26,male,45-54,"No gamble here! 🎨 Every print is shipped on high-quality, heavyweight fine art paper with archival inks, framed in real wood. Free shipping, guaranteed.",not_delivering,ad,8,8,1,Incremental,"Website purchases",,0.69,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,female,55-64,"Their first apartment deserves more than bare walls. 🏠 Ships in days, framed & ready to hang! Choose the place that means something.",not_delivering,ad,3,3,1,Incremental,"Website purchases",,0.92,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,female,35-44,"Their first apartment deserves more than bare walls. 🏠 Ships in days, framed & ready to hang! Choose the place that means something.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0.03,,2026-06-18,Ongoing,2026-06-26,2026-06-26
