"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Placement,"Impression device",Platform,"Conversion device","Amount spent (USD)",Reach,Impressions,Starts,Ends,"Attribution setting",Frequency,"Result type",Results,"CPC (cost per link click)","CTR (all)","CPM (cost per 1,000 impressions)","Result rate",Views,"Clicks (all)","CPC (all)","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per post engagement",ThruPlays,"Video plays","3-second video plays","Unique 2-second continuous video plays","Link clicks","Cost per ThruPlay","Cost per 3-second video play","Cost per 2-second continuous video play","CTR (link click-through rate)","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Instagram profile visits","Cost per app activation","App installs","Cost per app install","App activations conversion value","App activations","Purchase ROAS (return on ad spend)","Ratings submitted","Mobile app installs","In-app sessions conversion value","In-app sessions","In-app purchases","In-app registrations completed","In-app trials started","In-app subscriptions conversion value","Purchases rate per landing page views","Purchases rate per link clicks","Landing page views rate per link clicks","Reporting starts","Reporting ends"
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-03,"Threads feed",ipad,threads,ipad,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-03,"Facebook Reels",iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-03,Feed,iphone,instagram,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-03,Feed,iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-03,"Threads feed",iphone,threads,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1B_STC_APP_BOOK0_T1,120243248491620003,2026-05-03,"Instagram Stories",iphone,instagram,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1B_STC_APP_BOOK0_T1,120243248491620003,2026-05-03,Feed,iphone,instagram,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C4_APB_TOP_1865_IOS_BOOK0_V1,120243250336940003,C4B_STC_APP_BOOK0_T1,120243254329860003,2026-05-03,Feed,iphone,instagram,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1D_STC_APP_BOOK0_T1,120243248501300003,2026-05-04,Feed,iphone,instagram,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,C3D_STC_APP_BOOK0_T1,120243248616090003,2026-05-03,"Facebook Reels",iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1D_STC_APP_BOOK0_T1,120243248501300003,2026-05-03,Feed,iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-04,Feed,iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1D_STC_APP_BOOK0_T1,120243248501300003,2026-05-04,"In-stream reels",iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3B_STC_APP_BOOK0_T1 - Copy",120243254726810003,2026-05-03,Feed,iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1D_STC_APP_BOOK0_T1,120243248501300003,2026-05-04,"Instagram Stories",iphone,instagram,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3B_STC_APP_BOOK0_T1 - Copy",120243254726810003,2026-05-03,"Instagram Stories",iphone,instagram,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1D_STC_APP_BOOK0_T1,120243248501300003,2026-05-03,Feed,ipad,facebook,ipad,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1D_STC_APP_BOOK0_T1,120243248501300003,2026-05-04,"Facebook Reels",iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1D_STC_APP_BOOK0_T1,120243248501300003,2026-05-03,"Facebook Reels",iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03,2026-05-03
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C1_APB_TOP_1865_IOS_BOOK0_V1,120243244936240003,C1D_STC_APP_BOOK0_T1,120243248501300003,2026-05-04,"Instagram Reels",iphone,instagram,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-04,"Threads feed",iphone,threads,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-04,Feed,iphone,instagram,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-04,"Facebook Reels",iphone,facebook,iphone,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_IOS_MST _V1 [iOS]",120243244936220003,C3_APB_TOP_1865_IOS_BOOK0_V1,120243248616080003,"C3A_STC_APP_BOOK0_T1 - Copy",120243254726800003,2026-05-04,Feed,ipad,facebook,ipad,,,,2026-05-02,Ongoing,"1-day click",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,2026-05-04
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C2_APB_TOP_1865_ADR_BOOK0_V2,120243254910060003,C2B_STC_APP_BOOK0_T2,120243254910110003,2026-05-10,"Instagram Reels",android_smartphone,instagram,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,2026-05-10,2026-05-10
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-11,"Native, banner & interstitial",android_smartphone,audience_network,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-11,2026-05-11
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-10,"Facebook Reels",android_tablet,facebook,android_tablet,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-10,2026-05-10
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-10,Feed,android_smartphone,instagram,0,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2026-05-10,2026-05-10
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-10,"Facebook Reels",android_smartphone,facebook,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-10,2026-05-10
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-10,Feed,android_smartphone,instagram,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,1,,1,,,,,,,,2026-05-10,2026-05-10
